PA165963961	pegloticase	Pegloticase	M	MUSCULO-SKELETAL SYSTEM	M04A	Other antigout preparations	MUSCULO-SKELETAL SYSTEM	Other antigout preparations	M04AX02	NA	M04A	ANTIGOUT PREPARATIONS
PA451550	sulfinpyrazone	Sulfinpyrazone	M	MUSCULO-SKELETAL SYSTEM	M04A	Preparations increasing uric acid excretion	MUSCULO-SKELETAL SYSTEM	Preparations increasing uric acid excretion	M04AB02	NA	M04A	ANTIGOUT PREPARATIONS
PA131890628	tranilast	Tranilast	M	MUSCULOSKELETAL SYSTEM	M04A	Antigout preparations	Musculoskeletal system	Antigout preparations	M04AB	NA	M04A	ANTIGOUT PREPARATIONS
PA448082	alendronate	Alendronate	M	MUSCULOSKELETAL SYSTEM	M05B	Drugs affecting bone structure and mineralization	Musculoskeletal system	Drugs affecting bone structure and mineralization	M05BA04	NA	M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
PA451255	risedronate	Risedronate	M	MUSCULOSKELETAL SYSTEM	M05B	Drugs affecting bone structure and mineralization	Musculoskeletal system	Drugs affecting bone structure and mineralization	M05BA07	NA	M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
PA451688	tiludronate	Tiludronate	M	MUSCULOSKELETAL SYSTEM	M05B	Drugs affecting bone structure and mineralization	Musculoskeletal system	Drugs affecting bone structure and mineralization	M05BA05	NA	M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
PA10235	zoledronate	Zoledronate	M	MUSCULOSKELETAL SYSTEM	M05B	Drugs affecting bone structure and mineralization	Musculoskeletal system	Drugs affecting bone structure and mineralization	M05BA08	NA	M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
PA451522	succinylcholine	Succinylcholine	M	MUSCULOSKELETAL SYSTEM	M03	Muscle relaxants	Musculoskeletal system	Muscle relaxants	M03AB01	NA	M09A	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
PA166152940	tolperisone	Tolperisone	M	MUSCULOSKELETAL SYSTEM	M03	Muscle relaxants	Musculoskeletal system	Muscle relaxants	M03BX04	NA	M09A	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
PA450144	ketamine	Ketamine	N	NERVOUS SYSTEM	N01	Anesthetic drugs	Nervous system	Anesthetic drugs	N01AX03	NA	N01A	ANESTHETICS
PA166115521	trichloroethylene	Trichloroethylene	.	NERVOUS SYSTEM	.	Halogenated hydrocarbons	NERVOUS SYSTEM	Halogenated hydrocarbons	N01AB05	NA	N01A	ANESTHETICS
PA449072	cocaine	Cocaine	N	NERVOUS SYSTEM	N01	Esters of benzoic acid	NERVOUS SYSTEM	Esters of benzoic acid	N01BC01	NA	N01A	ANESTHETICS
